provider,provider_id,provider_slug,plan_title,capacity,period,price,price_usd_promo,price_usd_base,promo_zero_any,base_zero_any,coverage_count,scope_pref,plan_id
iRoamly,66ac21966d047ed956f30520,iroamly,France-eSIM-3GB-30 Days-Daily,3000 MB/day,30 Days,52.0,,52.0,False,False,0,0,68baada798ac519469ac4aec
iRoamly,66ac21966d047ed956f30520,iroamly,Global ( 148 Countries)-1GB-7 Days-Daily,1000 MB/day,7 Days,52.0,,52.0,False,False,0,2,68baada898ac519469ac5698
nextSIM,67f0abeb2a0a3aefec7a4e0f,nextsim,eSIM Unlimited Standard 30 Days Europe+,1000 MB/day,30 Days,50.4668546343,50.4668546343,52.02768519,False,False,0,1,68bff4d6a924d9c70e0de2bf
eSimFlare,67f32a92d392d55306110f1a,esimflare,Europe(30+ areas) 2GB/Day,2000 MB/day,10 Days,52.2,,52.2,False,False,0,1,68a8a357bb78507dd90863fc
Supera link,66fb8684e6cdd578fe555fdc,superalink,Global 146 Countries - 500MB/day,500 MB/day,25 Days,44.51,44.51,52.37,False,False,1,2,68c893aefd7fabd3fefda6e0
MobiMatter,6386134ed12efb94fc05f1fb,mobimatter,Europe and USA 60 GB 60 Days,60000 MB,60 Days,52.49,,52.49,False,False,1,1,68c868451c43a850e7c6143a
Esimatic,6579951a2ab42e58d53befcd,esimatic,France,50000 MB,30 Days,47.24,47.24,52.49,False,False,0,0,68c1c66f053739364a564362
ETravelSim,640e71222097580dd4a88d0b,etravelsim,Europe eSIM Unlimited - 14 Days / 200 Mins Local Calls,4000 MB/day,14 Days,52.5,,52.5,False,False,1,1,68c806e8a052e0b19f929961
MicroEsim,65fd5b85efc7ee1e3444055a,microesim,Europe &amp; Asia &amp; US 41 Countries 60 Days / Daily 500MB,500 MB/day,60 Days,51.63,51.63,52.63,False,False,1,1,68c72577418c34d5c8ab1169
eSimy,6869f31e709a1ddbfd440fe7,esimy,Europe - 50GB - 45 Days,50000 MB,45 Days,52.75468913,,52.75468913,False,False,0,1,68be25036c86ebe7a75502de
Truphone,5c89d6ab1144d06205595374,truphone,PrePaid Data 20GB 30-Day Regional,20000 MB,30 Days,47.4897735,47.4897735,52.766415,False,False,0,0,68c8912cfd7fabd3fef92b46
Truphone,5c89d6ab1144d06205595374,truphone,PrePaid Data 5GB 30-Day,5000 MB,30 Days,47.4897735,47.4897735,52.766415,False,False,0,0,68c8912bfd7fabd3fef92972
ByteSIM,67da4da6ff6041b77e7c4db1,bytesim,France Unlimited Data for 20 days,1000 MB/day,20 Days,52.9,,52.9,False,False,0,0,68c77b162468ddd077932e02
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Europe Explorer (Stand w'Ukraine) - 45 Days - 50 GB (39 countries),50000 MB,45 Days,48.49,48.49,52.99,False,False,0,1,68c84cc89bf54bb050616fe6
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Global Explorer XL - 365 Days - 20 GB (137 countries),20000 MB,365 Days,48.49,48.49,52.99,False,False,0,2,68c84cc79bf54bb050616616
Keep On Roaming,66d97b236734f85a8761a32d,keep-on-roaming,KOR-Europe-UNLIMITED-30D,1000 MB/day,30 Days,53.0,,53.0,False,False,0,1,68c4be728775cc02b83e2bc5
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global D 1GB/Daily 30Day,1000 MB/day,30 Days,53.05,,53.05,False,False,1,2,68c891f6fd7fabd3fefa4928
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe (49 Destinations) - 30 Days/Daily 2GB,2000 MB/day,30 Days,53.35305696312774,,53.35305696312774,False,False,1,1,68bfdb508525b2c8ebf54647
eSIMania,67fcf6bbbbc312c4799a2e78,esimania,FR 51.2GB for 180 days,50000 MB,180 Days,50.84,50.84,53.52,False,False,0,0,68c00327a242d9b3034b02ea
eSIMCard,6764f0cca7e04a963bb3a185,esimcard,"eSIM, 25 GB, 30 Days, Global (Lite), Unthrottled",25000 MB,30 Days,48.23,48.23,53.59,False,False,0,2,68c27dead67509eadbfdee5d
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe &amp; Asia &amp; US (41 Countries) - 60 Days/Daily 1GB,1000 MB/day,60 Days,53.68826757817954,,53.68826757817954,False,False,1,1,68bfdb568525b2c8ebf5abbb
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global F 10GB 7Day,10000 MB,7 Days,53.8,,53.8,False,False,1,2,68c891f8fd7fabd3fefaa8a2
ByteSIM,67da4da6ff6041b77e7c4db1,bytesim,France 50GB for 15 days,50000 MB,15 Days,53.9,,53.9,False,False,0,0,68c77b162468ddd077932df2
ByteSIM,67da4da6ff6041b77e7c4db1,bytesim,France 10GB/day for 15 days,10000 MB/day,15 Days,53.9,,53.9,False,False,0,0,68c77b152468ddd077932da8
Firsty,66719ce7b8d1560ec8b11691,firsty,Firsty First Class (France) - 23 Days,5000 MB/day,23 Days,53.939002,,53.939002,False,False,0,0,68b1d5022f01bb37575e8d4f
Giga.Tel,67d42f6255619141b6762338,gigatel,"Global 61 countries, 50GB",50000 MB,7 Days,43.19,43.19,53.99,False,False,0,2,68c88701d6f1c413da45f5d8
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Day Plan - Global Explorer - 1GB/Day - 15 Day,1000 MB/day,15 Days,49.49,49.49,53.99,False,False,0,2,68c84cc89bf54bb0506169aa
Breeze,6645ebd70ee8bdf7b1b24ed2,breeze,Europe+,1000 MB/day,30 Days,48.6,48.6,54.0,False,False,0,1,68c89330fd7fabd3fefd02ba
Manet Travel,6271ccfff446fdedf3ef9a00,manet,Regional Europe + Balkans - 30 Days - 20 GB,20000 MB,30 Days,54.1735194,,54.1735194,False,False,0,1,68c867bb1c43a850e7c390ac
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Europe A Unlimited 20Day,0 MB,20 Days,54.3,,54.3,False,False,1,1,68c891fefd7fabd3fefafdc3
eSIMCard,6764f0cca7e04a963bb3a185,esimcard,"eSIM, 10 GB, 365 Days, Global (Lite), Unthrottled",10000 MB,365 Days,48.92,48.92,54.36,False,False,0,2,68c27dead67509eadbfdefe2
MicroEsim,65fd5b85efc7ee1e3444055a,microesim,Europe 41 Countries 5G 20 Days / Daily 3GB,3000 MB/day,20 Days,53.42,53.42,54.42,False,False,1,1,68c72572418c34d5c8aaabe1
