provider,plan_title,price,data,validity,details_link,data_mb,validity_days,total_trip_cost
EZsim,Canada & Usa - 1GB/7Days,2.5,1GB,7 Days,https://esimdb.com/usa/ezsim,1024.0,7.0,2.5
eSIMX,United States 1GB 7Days,2.5,1GB,7 Days,https://esimdb.com/usa/esimx,1024.0,7.0,2.5
Always Mobile,United States 1GB 7Days,2.5,1GB,7 Days,https://esimdb.com/usa/always-mobile,1024.0,7.0,2.5
Gaza Online,"eSIM, 1GB, 7 Days, United States",2.5,1GB,7 Days,https://esimdb.com/usa/gazaonline,1024.0,7.0,2.5
BNESIM,Surf 1GB in United States,2.6,1GB,No expiry,https://esimdb.com/usa/bnesim,1024.0,,2.6
Manet Travel,Local United States - 7 Days - 1 GB,2.6,1GB,7 Days,https://esimdb.com/usa/manet,1024.0,7.0,2.6
Nesa,United States 1GB 7Days,2.65,1GB,7 Days,https://esimdb.com/usa/nesa,1024.0,7.0,2.65
Nesa,United States 1GB 7Days,2.65,1GB,7 Days,https://esimdb.com/usa/nesa,1024.0,7.0,2.65
EscapeSIM,Europe And USA 2GB,2.66,2GB,15 Days,https://esimdb.com/usa/escapesim,2048.0,15.0,2.66
Yoho Mobile,United States 1GB 7Day,2.7,1GB,7 Days,https://esimdb.com/usa/yoho-mobile,1024.0,7.0,2.7
eSIMCard,1GB eSIM Data For  7 Days in  United States of America,2.71,1GB,7 Days,https://esimdb.com/usa/esimcard,1024.0,7.0,2.71
Billion Connect,Global eSIM [26 Regions] 7 Days 3GB,2.71,3GB,7 Days,https://esimdb.com/usa/billionconnect,3072.0,7.0,2.71
Yoho Mobile,United States 1GB 10Day,2.77,1GB,10 Days,https://esimdb.com/usa/yoho-mobile,1024.0,10.0,2.77
Billion Connect,Global eSIM [26 Regions] 10 Days 3GB,2.78,3GB,10 Days,https://esimdb.com/usa/billionconnect,3072.0,10.0,2.78
TraveleSIM.CH,Sim Card for United States (USA) - 1GB - 7 Days,2.8,1GB,7 Days,https://esimdb.com/usa/travelesim-ch,1024.0,7.0,2.8
Simfinity,United States Eco,2.8,1GB,7 Days,https://esimdb.com/usa/simfinity,1024.0,7.0,2.8
Airhub,United states 3GB Data 30 Days,2.82,3GB,30 Days,https://esimdb.com/usa/airhub,3072.0,30.0,2.82
Yoho Mobile,United States 1GB 15Day,2.88,1GB,15 Days,https://esimdb.com/usa/yoho-mobile,1024.0,15.0,2.88
RedteaGO,USA & Canada,2.9,1GB,30 Days,https://esimdb.com/usa/redtea,1024.0,30.0,2.9
Airhub,United States 3GB 7Days,2.9,3GB,7 Days,https://esimdb.com/usa/airhub,3072.0,7.0,2.9
eSIM4Travel,Canada & USA - 1GB/3Days,1.45,1GB,3 Days,https://esimdb.com/usa/esim4travel,1024.0,3.0,2.9
EscapeSIM,United States 3GB,2.91,3GB,30 Days,https://esimdb.com/usa/escapesim,3072.0,30.0,2.91
TravelGator eSIM,United States eSIM Roaming Data,1.48,1GB,3 Days,https://esimdb.com/usa/travelgatorsim,1024.0,3.0,2.96
eSIM4Travel,Canada & USA - 1GB/7Days,2.96,1GB,7 Days,https://esimdb.com/usa/esim4travel,1024.0,7.0,2.96
eSIM4Travel,USA (Verizon) - 3GB/30Days,2.98,3GB,30 Days,https://esimdb.com/usa/esim4travel,3072.0,30.0,2.98
TravelGator eSIM,United States eSIM Roaming Data,2.99,2GB,10 Days,https://esimdb.com/usa/travelgatorsim,2048.0,10.0,2.99
Monty eSIM,UnitedStates,2.99,1GB,7 Days,https://esimdb.com/usa/monty-esim,1024.0,7.0,2.99
GLOBAL YO,United States - 7 Days - 2 GB,2.99,2GB,7 Days,https://esimdb.com/usa/yoverse,2048.0,7.0,2.99
BetterRoaming,Local United States - 7 Days - 1 GB,2.99,1GB,7 Days,https://esimdb.com/usa/betterroaming,1024.0,7.0,2.99
Giga.Tel,USA Premium 1 GB,2.99,1GB,7 Days,https://esimdb.com/usa/gigatel,1024.0,7.0,2.99
GLOBAL YO,North America Explorer - 7 Days - 1 GB (2 countries),2.99,1GB,7 Days,https://esimdb.com/usa/yoverse,1024.0,7.0,2.99
eSIM.sm,1GB 7 days - United States,3.0,1GB,7 Days,https://esimdb.com/usa/esimsm,1024.0,7.0,3.0
MicroEsim,United States Verizon 5G 7 Days / Total 3GB,3.0,3GB,7 Days,https://esimdb.com/usa/microesim,3072.0,7.0,3.0
Simbye,United States 1GB 7Days,3.0,1GB,7 Days,https://esimdb.com/usa/simbye,1024.0,7.0,3.0
